grade,element,analysis,min,max,unit,source_file,anchor,snippet
SA-234-WP22,P,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=P,0.030
SA-234-WP22,S,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=S,0.030
SA-234-WP22,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=Si,0.50
SA-234-WP22,Cr,Heat,1.90,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=Cr,1.90–2.60
SA-234-WP22,Mo,Heat,0.87,1.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=Mo,0.87–1.13
WP24,C,Heat,0.05,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=C,0.05–0.10
WP24,Mn,Heat,0.30,0.70,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=Mn,0.30–0.70
WP24,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=P,0.020
WP24,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=S,0.010
WP24,Si,Heat,0.15,0.45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=Si,0.15–0.45
WP24,Cr,Heat,2.20,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=Cr,2.20–2.60
WP24,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP24#Element=Mo,0.90–1.10
WP5CL1,C,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=C,0.15
WP5CL1,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=Mn,0.30–0.60
WP5CL1,P,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=P,0.040
WP5CL1,S,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=S,0.030
WP5CL1,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=Si,0.50
WP5CL1,Cr,Heat,4.0,6.0,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=Cr,4.0–6.0
WP5CL1,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP5CL1#Element=Mo,0.44–0.65
WP9CL1,C,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=C,0.15
WP9CL1,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=Mn,0.30–0.60
WP9CL1,P,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=P,0.040
WP9CL1,S,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=S,0.030
WP9CL1,Si,Heat,,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=Si,1.00
WP9CL1,Cr,Heat,8.0,10.0,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=Cr,8.0–10.0
WP9CL1,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP9CL1#Element=Mo,0.90–1.10
WPR,C,Heat,,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPR#Element=C,0.20
WPR,Mn,Heat,0.40,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPR#Element=Mn,0.40–1.06
WPR,P,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPR#Element=P,0.040
WPR,S,Heat,,0.050,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPR#Element=S,0.050
WPR,Ni,Heat,1.80,2.24,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPR#Element=Ni,1.80–2.24
WP91Type1,C,Heat,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=C,0.08–0.12
WP91Type1,Mn,Heat,0.30,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Mn,0.30–0.50^A
WP91Type1,Si,Heat,0.20,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Si,0.20–0.50
WP91Type1,Cr,Heat,8.0,9.5,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Cr,8.0–9.5
WP91Type1,Mo,Heat,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Mo,0.85–1.05
WP91Type2,C,Heat,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=C,0.08–0.12
WP91Type2,Mn,Heat,0.30,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Mn,0.30–0.50^A
WP91Type2,Si,Heat,0.30,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Si,0.30–0.50^A
WP91Type2,Cr,Heat,8.0,9.5,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Cr,8.0–9.5^B
WP91Type2,Mo,Heat,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Mo,0.85–1.05
WP91Type1,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=P,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=S,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Ni,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,V,Heat,0.18,0.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=V,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,Nb,Heat,0.06,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Nb,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,N,Heat,0.030,0.070,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=N,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type1,Al,Heat,,0.02,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type1#Element=Al,"| WP91 Type 1 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.010^B | 0.20–0.50 | 8.0–9.5 | 0.85–1.05 | 0.40^B | … | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070, Aluminum 0.02^B, Titanium 0.01^B, Zirconium 0.01^B |"
WP91Type2,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=P,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,S,Heat,,0.008,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=S,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,Ni,Heat,,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Ni,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,Cu,Heat,,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Cu,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,V,Heat,0.18,0.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=V,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,Nb,Heat,0.06,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Nb,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,N,Heat,0.030,0.070,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=N,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP91Type2,Al,Heat,,0.02,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP91Type2#Element=Al,"| WP91 Type 2 | 0.08–0.12 | 0.30–0.50^A | 0.020^B | 0.008^B | 0.30–0.50^A | 8.0–9.5^B | 0.85–1.05 | 0.20^B | 0.10^B | Vanadium 0.18–0.25, Columbium^(F) 0.06–0.10, Nitrogen 0.030–0.070^G, Aluminum 0.02, Titanium 0.01^B, Arsenic 0.01^B, Tin 0.010^B, Antimony 0.010^B, Zirconium 0.01^B, Ta 0.010^B, Nb/V ratio ≤0.5^B, Boron 0.001^B, Tungsten 0.05^B |"
WP115,C,Heat,0.09,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=C,0.09–0.13
WP115,Mn,Heat,0.20,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=Mn,0.20–0.50
WP115,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=P,0.020
WP115,S,Heat,,0.002,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=S,0.002
WP115,Si,Heat,0.15,0.45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=Si,0.15–0.45
WP115,Cr,Heat,10.0,11.0,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=Cr,10.0–11.0
WP115,Mo,Heat,0.40,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=Mo,0.40–0.60
WP115,Ni,Heat,,0.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP115#Element=Ni,0.25
SA-234-WP911,C,Heat,0.09,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=C,0.09–0.13
SA-234-WP911,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=Mn,0.30–0.60
SA-234-WP911,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=P,0.020
SA-234-WP911,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=S,0.010
SA-234-WP911,Si,Heat,0.10,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=Si,0.10–0.50
SA-234-WP911,Cr,Heat,8.5,9.5,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=Cr,8.5–9.5
SA-234-WP911,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=Mo,0.90–1.10
SA-234-WP911,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP911#Element=Ni,0.40
SA-234-WP92,C,Heat,0.07,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=C,0.07–0.13
SA-234-WP92,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=Mn,0.30–0.60
SA-234-WP92,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=P,0.020
SA-234-WP92,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=S,0.010
SA-234-WP92,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=Si,0.50
SA-234-WP92,Cr,Heat,8.50,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=Cr,8.50–9.50
SA-234-WP92,Mo,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=Mo,0.30–0.60
SA-234-WP92,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP92#Element=Ni,0.40
P1,C,Heat,0.10,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=C,0.10–0.20
P1,Mn,Heat,0.30,0.80,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=Mn,0.30–0.80
P1,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=P,0.025
P1,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=S,0.025
P1,Si,Heat,0.10,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=Si,0.10–0.50
P1,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P1#Element=Mo,0.44–0.65
P2,C,Heat,0.10,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=C,0.10–0.20
P2,Mn,Heat,0.30,0.61,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=Mn,0.30–0.61
P2,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=P,0.025
P2,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=S,0.025
P2,Si,Heat,0.10,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=Si,0.10–0.30
P2,Cr,Heat,0.50,0.81,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=Cr,0.50–0.81
P2,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P2#Element=Mo,0.44–0.65
P5,C,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=C,0.15 max
P5,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=Mn,0.30–0.60
P5,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=P,0.025
P5,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=S,0.025
P5,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=Si,0.50 max
P5,Cr,Heat,4.00,6.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=Cr,4.00–6.00
P5,Mo,Heat,0.45,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5#Element=Mo,0.45–0.65
P5b,C,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=C,0.15 max
P5b,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=Mn,0.30–0.60
P5b,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=P,0.025
P5b,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=S,0.025
P5b,Si,Heat,1.00,2.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=Si,1.00–2.00
P5b,Cr,Heat,4.00,6.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=Cr,4.00–6.00
P5b,Mo,Heat,0.45,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5b#Element=Mo,0.45–0.65
P5c,C,Heat,,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=C,0.12 max
P5c,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=Mn,0.30–0.60
