grade,element,analysis,min,max,unit,source_file,anchor,snippet
SA-106-C,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Ni,0.40
SA-106-A,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=V,0.08
SA-106-B,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=V,0.08
SA-106-C,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=V,0.08
F22CL1,C,Heat,0.05,0.15,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=C,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,Mn,Heat,0.30,0.60,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Mn,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,P,Heat,,0.040,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=P,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,S,Heat,,0.040,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=S,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,Si,Heat,,0.50,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Si,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,Cr,Heat,2.00,2.50,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Cr,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,Mo,Heat,0.87,1.13,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Mo,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,C,Heat,0.05,0.15,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=C,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,Mn,Heat,0.30,0.60,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Mn,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,P,Heat,,0.040,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=P,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,S,Heat,,0.040,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=S,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,Si,Heat,,0.50,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Si,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,Cr,Heat,2.00,2.50,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Cr,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
SA-182-F22,Mo,Heat,0.87,1.13,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Mo,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F23,C,Heat,0.04,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=C,0.04–0.10
F23,Mn,Heat,0.10,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=Mn,0.10–0.60
F23,P,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=P,0.030
F23,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=S,0.010
F23,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=Si,0.50
F23,Cr,Heat,1.90,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=Cr,1.90–2.60
F23,Mo,Heat,0.05,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F23#Element=Mo,0.05–0.30
F24,C,Heat,0.05,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=C,0.05–0.10
F24,Mn,Heat,0.30,0.70,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=Mn,0.30–0.70
F24,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=P,0.020
F24,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=S,0.010
F24,Si,Heat,0.15,0.45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=Si,0.15–0.45
F24,Cr,Heat,2.20,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=Cr,2.20–2.60
F24,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F24#Element=Mo,0.90–1.10
F5,C,Heat,,40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F5#Element=C,40 [275]
F5,Mn,Heat,,20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F5#Element=Mn,20
F5,P,Heat,,30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F5#Element=P,30
F9,Mn,Heat,,20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F9#Element=Mn,20
F9,P,Heat,,45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F9#Element=P,45
F12CL1,C,Heat,,32,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL1#Element=C,32 [220]
F12CL1,Mn,Heat,,20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL1#Element=Mn,20
